Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-01 00:00:00+00:00,28473.33203125,31005.607421875,27070.849609375,29268.806640625,511540319004,0.0,0.0
2023-05-01 00:00:00+00:00,29227.103515625,29820.126953125,25878.4296875,27219.658203125,443473015479,0.0,0.0
2023-06-01 00:00:00+00:00,27218.412109375,31389.5390625,24797.16796875,30477.251953125,481734214225,0.0,0.0
2023-07-01 00:00:00+00:00,30471.84765625,31814.515625,28934.294921875,29230.111328125,382224489090,0.0,0.0
2023-08-01 00:00:00+00:00,29230.873046875,30176.796875,25409.111328125,25931.47265625,437724169499,0.0,0.0
2023-09-01 00:00:00+00:00,25934.021484375,27488.763671875,24930.296875,26967.916015625,337637313742,0.0,0.0
2023-10-01 00:00:00+00:00,26967.396484375,35150.43359375,26558.3203125,34667.78125,476425634860,0.0,0.0
2023-11-01 00:00:00+00:00,34657.2734375,38415.33984375,34133.44140625,37712.74609375,570863267380,0.0,0.0
2023-12-01 00:00:00+00:00,37718.0078125,44705.515625,37629.359375,42265.1875,721704910480,0.0,0.0
2024-01-01 00:00:00+00:00,42280.234375,48969.37109375,38521.89453125,42582.60546875,825918941347,0.0,0.0
2024-02-01 00:00:00+00:00,42569.76171875,63913.1328125,41879.19140625,61198.3828125,830721862621,0.0,0.0
2024-03-01 00:00:00+00:00,61168.0625,73750.0703125,59323.91015625,71333.6484375,1446417844950,0.0,0.0
2024-04-01 00:00:00+00:00,71333.484375,72715.359375,59120.06640625,60636.85546875,1016068331704,0.0,0.0
2024-05-01 00:00:00+00:00,60609.49609375,71946.4609375,56555.29296875,67491.4140625,874291509757,0.0,0.0
2024-06-01 00:00:00+00:00,67489.609375,71907.8515625,58601.69921875,62678.29296875,726773965644,0.0,0.0
2024-07-01 00:00:00+00:00,62673.60546875,69987.5390625,53717.375,64619.25,953395573307,0.0,0.0
2024-08-01 00:00:00+00:00,64625.83984375,65593.2421875,49121.23828125,58969.8984375,1043105485208,0.0,0.0
2024-09-01 00:00:00+00:00,58969.80078125,66480.6953125,52598.69921875,63329.5,879117914822,0.0,0.0
2024-10-01 00:00:00+00:00,63335.60546875,73577.2109375,58895.20703125,70215.1875,993732418048,0.0,0.0
2024-11-01 00:00:00+00:00,70216.8984375,99655.5,66803.6484375,96449.0546875,2055808875264,0.0,0.0
2024-12-01 00:00:00+00:00,96461.3359375,108268.4453125,91317.1328125,93429.203125,2057355570135,0.0,0.0
2025-01-01 00:00:00+00:00,93425.1015625,109114.8828125,89260.1015625,102405.0234375,1668843382017,0.0,0.0
2025-02-01 00:00:00+00:00,102402.796875,102755.7265625,78248.9140625,84373.0078125,1257276788562,0.0,0.0
2025-03-01 00:00:00+00:00,84373.8671875,95043.4375,76624.25,87471.703125,903381851095,0.0,0.0
